order_id,order_date,customer_id,product_id,quantity,order_amount,outlet_id,order_status,is_urgent,clean_status
ORD002216,2026-05-30,C00542,P0088,6,38.46,O011,已签收,0,通过基础清洗
ORD002583,2026-03-21,C01376,P0074,2,56.56,O039,已签收,0,通过基础清洗
ORD001663,2026-03-28,C01708,P0026,2,109.3,O005,已签收,0,通过基础清洗
ORD003028,2026-05-02,C00039,P0155,6,250.86,O037,已签收,0,通过基础清洗
ORD004344,2026-05-28,C00372,P0088,4,25.64,O020,已签收,0,通过基础清洗
ORD002681,2026-06-06,C01456,P0183,10,956.2,O005,已签收,0,通过基础清洗
ORD001766,2026-03-19,C01011,P0159,2,31.7,O059,已签收,0,通过基础清洗
ORD001124,2026-05-17,C01339,P0011,6,441.6,O013,已签收,0,通过基础清洗
ORD004055,2026-05-25,C01511,P0089,3,173.19,O046,已签收,0,通过基础清洗
ORD003762,2026-06-03,C00604,P0172,1,4.3,O058,已签收,0,通过基础清洗
ORD001536,2026-03-24,C00037,P0011,1,73.6,O014,已签收,0,通过基础清洗
ORD002945,2026-05-15,C00597,P0181,4,111.96,O010,已签收,1,通过基础清洗
ORD002988,2026-05-23,C01170,P0100,6,67.62,O049,已签收,0,通过基础清洗
ORD004292,2026-04-11,C00648,P0085,1,68.59,O044,已签收,1,通过基础清洗
ORD004343,2026-05-07,C01123,P0026,2,109.3,O029,已签收,1,通过基础清洗
ORD004425,2026-04-03,C01392,P0031,3,23.76,O020,已签收,0,通过基础清洗
ORD007942,2026-04-04,C01282,P0182,3,139.26,O049,已签收,0,通过基础清洗
ORD004998,2026-04-06,C01242,P0097,2,19.24,O033,已签收,0,通过基础清洗
ORD002749,2026-04-16,C01604,P0022,2,117.88,O016,已签收,0,通过基础清洗
ORD002303,2026-05-22,C01429,P0073,6,585.06,O048,已签收,0,通过基础清洗
ORD003933,2026-04-03,C01305,P0008,1,33.37,O013,已签收,1,通过基础清洗
ORD005957,2026-06-02,C00031,P0003,1,43.83,O049,已签收,1,通过基础清洗
ORD006132,2026-06-01,C01217,P0023,1,86.8,O050,已签收,0,通过基础清洗
ORD007597,2026-04-16,C00697,P0068,6,621.72,O008,已签收,0,通过基础清洗
ORD000795,2026-05-18,C01791,P0011,5,368.0,O048,已签收,1,通过基础清洗
ORD003164,2026-05-11,C01653,P0097,2,19.24,O014,已签收,0,通过基础清洗
ORD007941,2026-04-17,C01472,P0016,1,8.59,O045,已签收,0,通过基础清洗
ORD003182,2026-05-19,C00398,P0198,3,396.96,O015,已签收,0,通过基础清洗
ORD000764,2026-03-18,C00524,P0183,5,478.1,O005,已签收,0,通过基础清洗
ORD003079,2026-04-05,C00019,P0172,5,21.5,O018,已签收,0,通过基础清洗
ORD000812,2026-04-07,C00995,P0027,2,132.86,O010,已签收,0,通过基础清洗
ORD007260,2026-05-24,C00305,P0187,4,449.2,O035,已签收,0,通过基础清洗
ORD006932,2026-04-25,C00298,P0019,4,160.56,O036,已签收,0,通过基础清洗
ORD001619,2026-06-04,C01301,P0019,3,120.42,O004,已签收,0,通过基础清洗
ORD006827,2026-04-17,C01151,P0030,5,418.55,O018,已签收,0,通过基础清洗
ORD001043,2026-04-21,C00864,P0019,2,80.28,O022,已签收,0,通过基础清洗
ORD005319,2026-04-25,C00502,P0048,1,48.84,O023,已签收,0,通过基础清洗
ORD004795,2026-03-25,C00200,P0198,8,1058.56,O012,已签收,0,通过基础清洗
ORD000488,2026-04-27,C01116,P0178,1,51.96,O054,已签收,0,通过基础清洗
ORD001018,2026-06-09,C01017,P0047,1,9.94,O020,已签收,0,通过基础清洗
ORD002816,2026-03-29,C01599,P0024,3,214.26,O034,已签收,0,通过基础清洗
ORD002717,2026-05-01,C01213,P0040,3,83.4,O021,已签收,0,通过基础清洗
ORD005364,2026-06-02,C01219,P0011,8,588.8,O015,已签收,0,通过基础清洗
ORD002930,2026-04-10,C00921,P0008,3,100.11,O008,已签收,1,通过基础清洗
