sample_id,product_id,product_name,category,sample_end_date,sales_last_7d,sales_last_30d,sales_last_90d,out_freq_last_30d,stock_qty,stock_amount,return_rate,gross_profit_rate,stock_turnover_days,abc_class,is_fresh,is_key_product,target_sales_next_30d
S0001,P0198,速冻馄饨4号,冷链食品,2025-12-31,26.9,106.7,341.3,35,337,40060.75,0.0476,0.179,90.2,A,1,1,126.2
S0002,P0198,速冻馄饨4号,冷链食品,2026-01-31,27.9,117.3,358.7,39,428,45483.98,0.0476,0.179,90.2,A,1,1,115.7
S0003,P0198,速冻馄饨4号,冷链食品,2026-02-28,33.3,134.9,379.0,44,411,40955.85,0.0476,0.179,90.2,A,1,1,132.9
S0004,P0198,速冻馄饨4号,冷链食品,2026-03-31,33.3,141.9,427.0,47,439,43053.09,0.0476,0.179,90.2,A,1,1,142.6
S0005,P0198,速冻馄饨4号,冷链食品,2026-04-30,32.9,132.6,406.5,44,413,44579.31,0.0476,0.179,90.2,A,1,1,148.6
S0006,P0198,速冻馄饨4号,冷链食品,2026-05-31,38.5,168.7,518.8,56,419,46399.64,0.0476,0.179,90.2,A,1,1,167.1
S0007,P0196,冷鲜鸡腿4号,冷链食品,2025-12-31,23.1,104.0,328.5,34,210,20951.28,0.0273,0.2148,45.1,A,1,1,119.7
S0008,P0196,冷鲜鸡腿4号,冷链食品,2026-01-31,27.2,113.1,334.5,37,212,20562.25,0.0273,0.2148,45.1,A,1,1,124.8
S0009,P0196,冷鲜鸡腿4号,冷链食品,2026-02-28,32.2,132.4,395.5,44,175,19900.87,0.0273,0.2148,45.1,A,1,1,152.2
S0010,P0196,冷鲜鸡腿4号,冷链食品,2026-03-31,28.5,122.5,382.1,40,185,21468.82,0.0273,0.2148,45.1,A,1,1,152.4
S0011,P0196,冷鲜鸡腿4号,冷链食品,2026-04-30,28.6,118.4,362.4,39,210,21255.86,0.0273,0.2148,45.1,A,1,1,135.5
S0012,P0196,冷鲜鸡腿4号,冷链食品,2026-05-31,35.3,138.8,428.4,46,178,18910.37,0.0273,0.2148,45.1,A,1,1,147.0
S0013,P0183,冷冻水饺2号,冷链食品,2025-12-31,30.2,125.3,365.1,41,178,12968.6,0.0559,0.2738,35.3,A,1,1,144.9
S0014,P0183,冷冻水饺2号,冷链食品,2026-01-31,35.6,144.3,441.1,48,179,12552.16,0.0559,0.2738,35.3,A,1,1,145.3
S0015,P0183,冷冻水饺2号,冷链食品,2026-02-28,31.7,138.4,403.4,46,192,13190.58,0.0559,0.2738,35.3,A,1,1,149.6
S0016,P0183,冷冻水饺2号,冷链食品,2026-03-31,37.9,164.7,497.1,54,160,11730.99,0.0559,0.2738,35.3,A,1,1,176.5
S0017,P0183,冷冻水饺2号,冷链食品,2026-04-30,34.3,139.5,445.3,46,179,13847.82,0.0559,0.2738,35.3,A,1,1,136.8
S0018,P0183,冷冻水饺2号,冷链食品,2026-05-31,39.0,177.2,509.0,59,170,12585.08,0.0559,0.2738,35.3,A,1,1,187.3
S0019,P0017,玉米糁3号,生鲜粮油,2025-12-31,29.5,119.8,401.0,39,160,10158.46,0.0977,0.1528,33.8,A,1,1,132.5
S0020,P0017,玉米糁3号,生鲜粮油,2026-01-31,31.5,130.0,402.8,43,190,10963.83,0.0977,0.1528,33.8,A,1,1,140.7
S0021,P0017,玉米糁3号,生鲜粮油,2026-02-28,31.9,131.5,390.4,43,180,11361.76,0.0977,0.1528,33.8,A,1,1,161.7
S0022,P0017,玉米糁3号,生鲜粮油,2026-03-31,35.2,155.6,502.7,51,163,10204.76,0.0977,0.1528,33.8,A,1,1,152.2
S0023,P0017,玉米糁3号,生鲜粮油,2026-04-30,34.5,164.1,498.9,54,173,11682.96,0.0977,0.1528,33.8,A,1,1,158.9
S0024,P0017,玉米糁3号,生鲜粮油,2026-05-31,55.8,226.9,579.3,75,140,11302.25,0.0977,0.1528,33.8,A,1,1,220.3
S0025,P0006,杂粮包1号,生鲜粮油,2025-12-31,24.6,108.9,334.9,36,321,18665.36,0.063,0.229,62.1,A,1,1,115.9
S0026,P0006,杂粮包1号,生鲜粮油,2026-01-31,24.3,117.8,377.0,39,294,20452.58,0.063,0.229,62.1,A,1,1,121.0
S0027,P0006,杂粮包1号,生鲜粮油,2026-02-28,33.1,144.6,409.6,48,273,17686.51,0.063,0.229,62.1,A,1,1,137.3
S0028,P0006,杂粮包1号,生鲜粮油,2026-03-31,40.4,159.1,502.0,53,318,18918.21,0.063,0.229,62.1,A,1,1,156.0
S0029,P0006,杂粮包1号,生鲜粮油,2026-04-30,33.5,148.6,446.9,49,285,17131.35,0.063,0.229,62.1,A,1,1,167.8
S0030,P0006,杂粮包1号,生鲜粮油,2026-05-31,38.6,144.0,427.5,47,293,18808.23,0.063,0.229,62.1,A,1,1,158.0
S0031,P0199,冰鲜牛肉4号,冷链食品,2025-12-31,20.1,87.2,258.2,29,328,34837.89,0.0,0.1845,102.2,A,1,1,104.8
S0032,P0199,冰鲜牛肉4号,冷链食品,2026-01-31,16.6,78.1,252.9,26,361,31555.0,0.0,0.1845,102.2,A,1,1,98.5
S0033,P0199,冰鲜牛肉4号,冷链食品,2026-02-28,20.2,93.0,256.5,30,334,31143.34,0.0,0.1845,102.2,A,1,1,91.3
S0034,P0199,冰鲜牛肉4号,冷链食品,2026-03-31,22.6,92.4,279.9,30,320,33131.02,0.0,0.1845,102.2,A,1,1,114.1
S0035,P0199,冰鲜牛肉4号,冷链食品,2026-04-30,18.2,82.1,247.0,27,295,31259.1,0.0,0.1845,102.2,A,1,1,77.6
S0036,P0199,冰鲜牛肉4号,冷链食品,2026-05-31,24.4,102.3,333.6,34,309,33817.77,0.0,0.1845,102.2,A,1,1,105.1
S0037,P0030,杂粮包5号,生鲜粮油,2025-12-31,30.0,127.6,354.5,42,310,21435.16,0.0684,0.2013,69.9,A,1,1,128.1
S0038,P0030,杂粮包5号,生鲜粮油,2026-01-31,27.5,114.5,367.3,38,379,23506.97,0.0684,0.2013,69.9,A,1,1,126.5
S0039,P0030,杂粮包5号,生鲜粮油,2026-02-28,24.7,117.4,358.4,39,323,22656.38,0.0684,0.2013,69.9,A,1,1,119.2
S0040,P0030,杂粮包5号,生鲜粮油,2026-03-31,24.2,122.7,383.3,40,289,20456.61,0.0684,0.2013,69.9,A,1,1,130.4
S0041,P0030,杂粮包5号,生鲜粮油,2026-04-30,27.1,132.3,399.3,44,369,19495.74,0.0684,0.2013,69.9,A,1,1,121.6
S0042,P0030,杂粮包5号,生鲜粮油,2026-05-31,44.8,152.5,412.1,50,306,21560.74,0.0684,0.2013,69.9,A,1,1,145.1
S0043,P0011,玉米糁2号,生鲜粮油,2025-12-31,30.7,131.4,419.2,43,41,2376.33,0.0709,0.1742,8.2,A,1,1,153.2
S0044,P0011,玉米糁2号,生鲜粮油,2026-01-31,27.7,118.8,388.3,39,40,2350.19,0.0709,0.1742,8.2,A,1,1,124.8
S0045,P0011,玉米糁2号,生鲜粮油,2026-02-28,36.9,152.9,432.5,50,40,2431.21,0.0709,0.1742,8.2,A,1,1,171.1
S0046,P0011,玉米糁2号,生鲜粮油,2026-03-31,33.3,141.1,415.5,47,45,2487.48,0.0709,0.1742,8.2,A,1,1,184.9
S0047,P0011,玉米糁2号,生鲜粮油,2026-04-30,35.4,135.9,436.9,45,41,2176.71,0.0709,0.1742,8.2,A,1,1,150.7
S0048,P0011,玉米糁2号,生鲜粮油,2026-05-31,39.1,180.1,525.8,60,40,2438.85,0.0709,0.1742,8.2,A,1,1,185.1
S0049,P0023,玉米糁4号,生鲜粮油,2025-12-31,19.2,82.4,248.7,27,253,12548.03,0.0471,0.2472,67.0,A,1,1,90.4
S0050,P0023,玉米糁4号,生鲜粮油,2026-01-31,21.9,89.7,266.3,29,195,15124.07,0.0471,0.2472,67.0,A,1,1,93.2
S0051,P0023,玉米糁4号,生鲜粮油,2026-02-28,25.3,99.3,328.1,33,225,13895.17,0.0471,0.2472,67.0,A,1,1,103.6
S0052,P0023,玉米糁4号,生鲜粮油,2026-03-31,26.6,106.7,296.8,35,248,15222.94,0.0471,0.2472,67.0,A,1,1,135.5
S0053,P0023,玉米糁4号,生鲜粮油,2026-04-30,31.8,125.4,366.7,41,228,14211.52,0.0471,0.2472,67.0,A,1,1,131.4
S0054,P0023,玉米糁4号,生鲜粮油,2026-05-31,28.6,113.2,365.4,37,248,15500.4,0.0471,0.2472,67.0,A,1,1,119.9
S0055,P0010,小麦面粉2号,生鲜粮油,2025-12-31,24.1,115.8,332.9,38,30,1956.14,0.0404,0.2181,8.8,A,1,1,124.2
S0056,P0010,小麦面粉2号,生鲜粮油,2026-01-31,27.0,120.1,347.2,40,34,1871.55,0.0404,0.2181,8.8,A,1,1,116.4
S0057,P0010,小麦面粉2号,生鲜粮油,2026-02-28,27.5,105.7,311.2,35,27,2055.79,0.0404,0.2181,8.8,A,1,1,121.2
S0058,P0010,小麦面粉2号,生鲜粮油,2026-03-31,32.1,119.6,350.0,39,32,2090.5,0.0404,0.2181,8.8,A,1,1,102.0
S0059,P0010,小麦面粉2号,生鲜粮油,2026-04-30,28.5,116.4,320.7,38,32,2117.5,0.0404,0.2181,8.8,A,1,1,136.5
S0060,P0010,小麦面粉2号,生鲜粮油,2026-05-31,34.4,141.7,419.3,47,31,2001.05,0.0404,0.2181,8.8,A,1,1,157.3
S0061,P0020,花生油4号,生鲜粮油,2025-12-31,27.9,108.6,318.4,36,178,10656.5,0.0763,0.1846,42.0,A,1,1,104.6
S0062,P0020,花生油4号,生鲜粮油,2026-01-31,24.8,102.4,323.1,34,180,10566.96,0.0763,0.1846,42.0,A,1,1,120.1
S0063,P0020,花生油4号,生鲜粮油,2026-02-28,33.9,136.5,389.8,45,177,8610.14,0.0763,0.1846,42.0,A,1,1,182.4
S0064,P0020,花生油4号,生鲜粮油,2026-03-31,33.9,141.2,435.5,47,156,9051.64,0.0763,0.1846,42.0,A,1,1,172.8
S0065,P0020,花生油4号,生鲜粮油,2026-04-30,27.8,112.7,355.1,37,183,8957.03,0.0763,0.1846,42.0,A,1,1,128.2
S0066,P0020,花生油4号,生鲜粮油,2026-05-31,26.8,116.8,349.3,38,190,9867.77,0.0763,0.1846,42.0,A,1,1,132.1
S0067,P0155,土豆1号,农产品,2025-12-31,38.8,156.2,462.4,52,28,991.77,0.0738,0.1916,5.0,A,1,1,156.6
S0068,P0155,土豆1号,农产品,2026-01-31,40.0,161.1,495.1,53,28,1028.99,0.0738,0.1916,5.0,A,1,1,169.3
S0069,P0155,土豆1号,农产品,2026-02-28,26.7,127.5,414.6,42,27,1024.28,0.0738,0.1916,5.0,A,1,1,104.9
S0070,P0155,土豆1号,农产品,2026-03-31,44.5,172.1,510.1,57,28,1059.81,0.0738,0.1916,5.0,A,1,1,210.9
S0071,P0155,土豆1号,农产品,2026-04-30,39.8,175.6,554.8,58,26,959.14,0.0738,0.1916,5.0,A,1,1,161.1
S0072,P0155,土豆1号,农产品,2026-05-31,48.0,226.8,616.7,75,26,1008.12,0.0738,0.1916,5.0,A,1,1,254.7
S0073,P0005,玉米糁1号,生鲜粮油,2025-12-31,17.7,69.1,233.0,23,356,20810.8,0.0471,0.2084,118.7,A,1,1,70.1
S0074,P0005,玉米糁1号,生鲜粮油,2026-01-31,19.1,81.3,237.8,27,382,24000.31,0.0471,0.2084,118.7,A,1,1,90.8
S0075,P0005,玉米糁1号,生鲜粮油,2026-02-28,20.3,78.7,259.2,26,405,22749.7,0.0471,0.2084,118.7,A,1,1,82.2
S0076,P0005,玉米糁1号,生鲜粮油,2026-03-31,26.1,95.0,279.0,31,374,22451.9,0.0471,0.2084,118.7,A,1,1,124.3
S0077,P0005,玉米糁1号,生鲜粮油,2026-04-30,25.0,102.2,323.1,34,381,21126.2,0.0471,0.2084,118.7,A,1,1,110.1
S0078,P0005,玉米糁1号,生鲜粮油,2026-05-31,17.3,79.7,273.2,26,363,24822.99,0.0471,0.2084,118.7,A,1,1,82.1
S0079,P0187,冰鲜牛肉2号,冷链食品,2025-12-31,13.1,53.4,170.0,17,78,7056.0,0.0357,0.2232,38.5,A,1,1,55.3
S0080,P0187,冰鲜牛肉2号,冷链食品,2026-01-31,14.7,57.0,174.7,19,80,8066.06,0.0357,0.2232,38.5,A,1,1,54.4
S0081,P0187,冰鲜牛肉2号,冷链食品,2026-02-28,15.6,65.1,179.9,21,79,6907.05,0.0357,0.2232,38.5,A,1,1,74.5
S0082,P0187,冰鲜牛肉2号,冷链食品,2026-03-31,13.3,60.0,175.3,19,86,7131.87,0.0357,0.2232,38.5,A,1,1,69.1
S0083,P0187,冰鲜牛肉2号,冷链食品,2026-04-30,15.3,66.0,192.8,22,68,6837.88,0.0357,0.2232,38.5,A,1,1,78.1
S0084,P0187,冰鲜牛肉2号,冷链食品,2026-05-31,14.0,53.0,174.5,17,75,6349.3,0.0357,0.2232,38.5,A,1,1,62.4
S0085,P0186,速冻馄饨2号,冷链食品,2025-12-31,8.9,31.2,96.8,10,213,24814.12,0.0222,0.207,132.6,A,1,1,35.2
S0086,P0186,速冻馄饨2号,冷链食品,2026-01-31,9.3,38.8,118.4,12,238,24639.67,0.0222,0.207,132.6,A,1,1,41.5
S0087,P0186,速冻馄饨2号,冷链食品,2026-02-28,12.3,48.4,151.3,16,206,22854.72,0.0222,0.207,132.6,A,1,1,60.9
S0088,P0186,速冻馄饨2号,冷链食品,2026-03-31,14.7,55.4,168.2,18,250,24330.93,0.0222,0.207,132.6,A,1,1,57.2
S0089,P0186,速冻馄饨2号,冷链食品,2026-04-30,13.8,59.7,163.7,19,215,24795.65,0.0222,0.207,132.6,A,1,1,58.3
S0090,P0186,速冻馄饨2号,冷链食品,2026-05-31,11.6,51.1,147.6,17,181,23001.2,0.0222,0.207,132.6,A,1,1,61.6
S0091,P0169,苹果3号,农产品,2025-12-31,22.4,92.2,291.1,30,453,19966.48,0.0833,0.1211,103.4,A,1,1,97.8
S0092,P0169,苹果3号,农产品,2026-01-31,28.7,114.1,364.5,38,477,20832.17,0.0833,0.1211,103.4,A,1,1,131.6
S0093,P0169,苹果3号,农产品,2026-02-28,34.5,145.8,389.9,48,435,18910.46,0.0833,0.1211,103.4,A,1,1,152.6
S0094,P0169,苹果3号,农产品,2026-03-31,27.1,114.5,362.9,38,464,19233.07,0.0833,0.1211,103.4,A,1,1,127.9
S0095,P0169,苹果3号,农产品,2026-04-30,37.3,158.7,455.8,52,483,20386.38,0.0833,0.1211,103.4,A,1,1,160.0
S0096,P0169,苹果3号,农产品,2026-05-31,31.9,131.3,395.5,43,470,18399.35,0.0833,0.1211,103.4,A,1,1,128.8
S0097,P0002,花生油1号,生鲜粮油,2025-12-31,14.9,63.9,178.4,21,326,25636.79,0.0943,0.2266,188.9,A,1,1,71.6
S0098,P0002,花生油1号,生鲜粮油,2026-01-31,13.2,52.3,167.7,17,366,26163.87,0.0943,0.2266,188.9,A,1,1,68.0
S0099,P0002,花生油1号,生鲜粮油,2026-02-28,14.6,67.9,185.8,22,464,24817.93,0.0943,0.2266,188.9,A,1,1,75.2
S0100,P0002,花生油1号,生鲜粮油,2026-03-31,12.8,56.3,173.2,18,412,24614.29,0.0943,0.2266,188.9,A,1,1,65.8
S0101,P0002,花生油1号,生鲜粮油,2026-04-30,17.9,68.2,212.0,22,384,28442.53,0.0943,0.2266,188.9,A,1,1,69.0
S0102,P0002,花生油1号,生鲜粮油,2026-05-31,16.0,77.8,227.3,25,371,27936.98,0.0943,0.2266,188.9,A,1,1,88.6
S0103,P0019,东北大米4号,生鲜粮油,2025-12-31,24.3,108.9,318.2,36,468,13819.75,0.0684,0.2339,92.7,A,1,1,102.2
S0104,P0019,东北大米4号,生鲜粮油,2026-01-31,30.3,131.9,363.9,43,452,13115.78,0.0684,0.2339,92.7,A,1,1,142.9
S0105,P0019,东北大米4号,生鲜粮油,2026-02-28,31.3,136.1,421.7,45,406,11650.2,0.0684,0.2339,92.7,A,1,1,167.3
S0106,P0019,东北大米4号,生鲜粮油,2026-03-31,43.0,186.6,485.4,62,431,13388.31,0.0684,0.2339,92.7,A,1,1,161.7
S0107,P0019,东北大米4号,生鲜粮油,2026-04-30,34.6,139.0,446.8,46,390,14193.73,0.0684,0.2339,92.7,A,1,1,158.1
S0108,P0019,东北大米4号,生鲜粮油,2026-05-31,43.4,187.1,555.7,62,464,12207.71,0.0684,0.2339,92.7,A,1,1,199.2
S0109,P0015,鸡蛋3号,生鲜粮油,2025-12-31,18.1,66.4,203.9,22,341,15624.48,0.1077,0.2088,112.4,A,1,1,70.4
