outlet_id,outlet_name,town,region_type,lon,lat,order_count_90d,timeout_rate_calc,high_priority_order_count,risk_score,risk_level,cluster_id,cluster_name,cluster_center_lon,cluster_center_lat,cluster_risk_level,cluster_business_score,cluster_features
O023,黄堽镇3号配送网点,黄堽镇,乡镇,115.733608,35.456803,106,0.4906,2,42.97,高风险,0,东北乡镇风险片区,115.74439692857143,35.42039992857143,重点优化片区,46.29,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O026,胡集镇6号配送网点,胡集镇,乡镇,115.744645,35.345682,134,0.4104,2,37.89,高风险,0,东北乡镇风险片区,115.74439692857143,35.42039992857143,重点优化片区,46.29,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O032,黄堽镇12号配送网点,黄堽镇,乡镇,115.737789,35.423853,67,0.597,1,37.09,高风险,0,东北乡镇风险片区,115.74439692857143,35.42039992857143,重点优化片区,46.29,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O025,小留镇5号配送网点,小留镇,乡镇,115.709046,35.416527,82,0.5488,1,35.53,中风险,0,东北乡镇风险片区,115.74439692857143,35.42039992857143,重点优化片区,46.29,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O024,高庄镇4号配送网点,高庄镇,乡镇,115.777692,35.40997,124,0.4839,2,34.95,中风险,0,东北乡镇风险片区,115.74439692857143,35.42039992857143,重点优化片区,46.29,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O028,胡集镇8号配送网点,胡集镇,乡镇,115.719944,35.469445,83,0.4217,3,34.47,中风险,0,东北乡镇风险片区,115.74439692857143,35.42039992857143,重点优化片区,46.29,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O029,黄堽镇9号配送网点,黄堽镇,乡镇,115.758956,35.457943,105,0.5048,0,29.78,中风险,0,东北乡镇风险片区,115.74439692857143,35.42039992857143,重点优化片区,46.29,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O034,胡集镇14号配送网点,胡集镇,乡镇,115.675415,35.420828,164,0.3171,2,28.85,中风险,0,东北乡镇风险片区,115.74439692857143,35.42039992857143,重点优化片区,46.29,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O033,胡集镇13号配送网点,胡集镇,乡镇,115.71759,35.387121,125,0.488,0,28.51,中风险,0,东北乡镇风险片区,115.74439692857143,35.42039992857143,重点优化片区,46.29,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O021,胡集镇1号配送网点,胡集镇,乡镇,115.772592,35.425611,98,0.3776,1,23.56,低风险,0,东北乡镇风险片区,115.74439692857143,35.42039992857143,重点优化片区,46.29,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O027,黄堽镇7号配送网点,黄堽镇,乡镇,115.761821,35.477505,82,0.378,0,21.24,低风险,0,东北乡镇风险片区,115.74439692857143,35.42039992857143,重点优化片区,46.29,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O030,黄堽镇10号配送网点,黄堽镇,乡镇,115.741704,35.391775,137,0.3796,1,20.89,低风险,0,东北乡镇风险片区,115.74439692857143,35.42039992857143,重点优化片区,46.29,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O022,胡集镇2号配送网点,胡集镇,乡镇,115.75295,35.427629,72,0.2361,1,20.83,低风险,0,东北乡镇风险片区,115.74439692857143,35.42039992857143,重点优化片区,46.29,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O031,小留镇11号配送网点,小留镇,乡镇,115.817805,35.374907,83,0.2771,0,15.25,低风险,0,东北乡镇风险片区,115.74439692857143,35.42039992857143,重点优化片区,46.29,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O018,东城街道18号配送网点,东城街道,城区,115.459168,35.252094,222,0.2928,0,10.82,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O012,开发区12号配送网点,开发区,城区,115.497319,35.234232,165,0.2788,0,10.49,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O003,东城街道3号配送网点,东城街道,城区,115.485778,35.254899,219,0.2557,0,10.45,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O009,南城街道9号配送网点,南城街道,城区,115.46266,35.232385,265,0.2566,0,10.41,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O011,牡丹街道11号配送网点,牡丹街道,城区,115.512948,35.236192,240,0.25,0,10.32,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O020,开发区20号配送网点,开发区,城区,115.486621,35.223948,237,0.211,0,8.57,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O013,开发区13号配送网点,开发区,城区,115.472886,35.236717,281,0.21,0,8.49,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O014,南城街道14号配送网点,南城街道,城区,115.489035,35.239551,201,0.2239,0,8.44,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O007,南城街道7号配送网点,南城街道,城区,115.458475,35.214965,195,0.1949,0,8.33,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O017,南城街道17号配送网点,南城街道,城区,115.480692,35.224344,215,0.2,0,8.25,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O016,东城街道16号配送网点,东城街道,城区,115.477805,35.229288,289,0.1765,0,8.07,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O019,东城街道19号配送网点,东城街道,城区,115.449386,35.23459,272,0.2353,0,7.23,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
