return_id,order_id,product_id,return_date,return_reason,refund_amount
R00001,ORD003078,P0113,2026-06-03,商品破损,217.18
R00002,ORD003549,P0026,2026-06-13,配送超时,181.7
R00003,ORD004964,P0169,2026-04-10,质量问题,174.6
R00004,ORD004065,P0010,2026-05-15,质量问题,373.95
R00005,ORD006862,P0038,2026-04-23,客户拒收,164.39
R00006,ORD002095,P0192,2026-05-29,地址错误,49.47
R00007,ORD005455,P0042,2026-06-14,商品破损,121.49
R00008,ORD006568,P0175,2026-06-15,质量问题,24.1
R00009,ORD000303,P0059,2026-06-08,配送超时,19.55
R00010,ORD003295,P0013,2026-03-25,商品破损,129.97
R00011,ORD005263,P0174,2026-05-27,商品破损,206.89
R00012,ORD001575,P0180,2026-04-09,地址错误,11.89
R00013,ORD001758,P0172,2026-06-13,配送超时,7.32
R00014,ORD003594,P0086,2026-06-03,客户拒收,689.5
R00015,ORD003725,P0022,2026-05-25,质量问题,108.93
R00016,ORD007289,P0016,2026-04-10,地址错误,38.72
R00017,ORD001720,P0180,2026-06-12,质量问题,20.94
R00018,ORD004128,P0174,2026-06-12,配送超时,126.89
R00019,ORD000445,P0161,2026-04-27,质量问题,62.53
R00020,ORD001195,P0023,2026-04-18,配送超时,288.45
R00021,ORD006704,P0175,2026-05-17,商品破损,194.05
R00022,ORD007015,P0002,2026-06-05,地址错误,229.47
R00023,ORD003510,P0196,2026-04-23,配送超时,331.58
R00024,ORD007770,P0042,2026-04-02,客户拒收,121.16
R00025,ORD000884,P0200,2026-03-29,地址错误,59.14
R00026,ORD007004,P0029,2026-03-27,商品破损,117.35
R00027,ORD005871,P0011,2026-04-28,客户拒收,381.62
R00028,ORD003159,P0080,2026-05-01,地址错误,176.44
R00029,ORD002093,P0166,2026-06-06,质量问题,115.28
R00030,ORD002164,P0030,2026-03-27,商品破损,212.1
R00031,ORD004346,P0030,2026-04-10,地址错误,236.46
R00032,ORD004054,P0026,2026-05-13,客户拒收,436.98
R00033,ORD002413,P0162,2026-06-01,配送超时,217.33
R00034,ORD007175,P0179,2026-05-10,配送超时,177.8
R00035,ORD004815,P0017,2026-04-08,配送超时,146.6
R00036,ORD006208,P0200,2026-05-07,商品破损,354.45
R00037,ORD004015,P0043,2026-06-01,商品破损,90.17
R00038,ORD005420,P0018,2026-03-31,地址错误,121.77
R00039,ORD003203,P0182,2026-05-24,配送超时,85.25
R00040,ORD005106,P0164,2026-04-03,地址错误,54.48
R00041,ORD005852,P0176,2026-05-25,质量问题,61.75
R00042,ORD001401,P0019,2026-04-01,质量问题,99.65
R00043,ORD000917,P0078,2026-06-13,商品破损,47.32
R00044,ORD005543,P0095,2026-04-04,配送超时,176.47
R00045,ORD006124,P0015,2026-04-04,商品破损,177.41
R00046,ORD003140,P0174,2026-03-23,配送超时,127.59
R00047,ORD002180,P0005,2026-05-29,商品破损,192.06
R00048,ORD007663,P0060,2026-06-15,配送超时,37.23
R00049,ORD007328,P0015,2026-04-30,客户拒收,128.4
R00050,ORD003487,P0155,2026-06-15,配送超时,149.39
R00051,ORD004071,P0004,2026-06-05,配送超时,298.76
R00052,ORD007525,P0002,2026-05-09,配送超时,247.43
R00053,ORD007779,P0192,2026-03-22,配送超时,20.68
R00054,ORD000008,P0094,2026-06-10,配送超时,7.74
R00055,ORD000071,P0006,2026-03-29,配送超时,322.67
R00056,ORD004280,P0169,2026-03-20,客户拒收,142.84
R00057,ORD001596,P0017,2026-05-05,地址错误,68.72
R00058,ORD003370,P0180,2026-04-22,商品破损,11.66
R00059,ORD001822,P0016,2026-06-09,商品破损,30.21
R00060,ORD004473,P0160,2026-05-12,商品破损,62.83
R00061,ORD006035,P0020,2026-04-12,地址错误,184.42
R00062,ORD004506,P0164,2026-04-06,商品破损,50.36
R00063,ORD000549,P0060,2026-04-20,配送超时,27.47
R00064,ORD007712,P0030,2026-04-17,地址错误,237.89
R00065,ORD001714,P0155,2026-05-28,质量问题,108.83
R00066,ORD001248,P0166,2026-05-28,配送超时,29.11
R00067,ORD001693,P0032,2026-05-01,地址错误,176.19
R00068,ORD004269,P0200,2026-05-14,配送超时,129.1
R00069,ORD002859,P0028,2026-06-15,商品破损,103.3
R00070,ORD001630,P0200,2026-03-26,配送超时,127.61
R00071,ORD005853,P0022,2026-06-15,配送超时,145.69
R00072,ORD005619,P0022,2026-05-20,商品破损,96.91
R00073,ORD002903,P0157,2026-06-15,商品破损,142.56
R00074,ORD005341,P0068,2026-06-15,商品破损,192.24
R00075,ORD001026,P0085,2026-05-27,质量问题,244.32
R00076,ORD002676,P0026,2026-04-12,客户拒收,51.63
R00077,ORD004603,P0024,2026-04-30,商品破损,70.64
